,count(p.gender),FemaleCount,MaleCount,OtherCount,title,year,Female+Male
2012,13,6,7,0,Malamaal Weekly,2006,
2013,10,4,6,0,Mera Dil Leke Dekho,2006,
2014,15,4,11,0,Mere Jeevan Saathi,2006,
2015,19,6,13,0,Mixed Doubles,2006,
2016,10,4,6,0,My Bollywood Bride,2006,
2017,13,5,8,0,Naksha,2006,
2018,5,1,4,0,Naughty Boy,2006,
2019,12,3,9,0,Omkara,2006,
2020,29,7,22,0,Outsourced,2006,
2021,34,4,30,0,Phir Hera Pheri,2006,
2022,9,6,3,0,Pyaar Ke Side Effects,2006,
2023,14,2,12,0,Pyare Mohan,2006,
2024,17,5,12,0,Rang De Basanti,2006,
2025,20,8,12,0,Return to Rajapur,2006,
2026,9,3,6,0,Rocky,2006,
2027,11,4,7,0,Saawan... The Love Season,2006,
2028,15,4,11,0,Sainikudu,2006,
2029,14,6,8,0,Sandwich,2006,
2030,34,5,29,0,Sarhad Paar,2006,
2031,15,9,6,0,Shaadi Karke Phas Gaya Yaar,2006,
2032,12,3,9,0,Shaadi Se Pehle,2006,
2033,20,2,18,0,Shiva,2006,
2034,4,1,3,0,Sivappathikaaram,2006,
2035,12,2,10,0,Tathastu,2006,
2036,20,6,14,0,Taxi No. 9 2 11: Nau Do Gyarah,2006,
2037,12,5,7,0,Teesri Aankh: The Hidden Camera,2006,
2038,6,1,5,0,The Angrez,2006,
2039,10,2,8,0,The Killer,2006,
2040,38,10,28,0,The Lookalike,2006,
2041,15,7,8,0,The Memsahib,2006,
2042,54,20,34,0,The Namesake,2006,
2043,5,2,3,0,Thirupathi,2006,
2044,21,5,16,0,"Tom, Dick, and Harry",2006,
2045,11,3,8,0,Umar,2006,
2046,19,7,12,0,Umrao Jaan,2006,
2047,34,6,28,0,Valley of Flowers,2006,
2048,16,5,11,0,Vettaiyaadu Vilaiyaadu,2006,
2049,20,10,10,0,Vivah,2006,
2050,11,5,6,0,Woh Lamhe,2006,
2051,8,3,5,0,Yatra,2006,
2052,21,9,12,0,Yun Hota Toh Kya Hota,2006,
2053,13,4,9,0,Zinda,2006,
2054,9,5,4,0,Zindaggi Rocks,2006,
2055,18,1,17,0,1971,2007,
2056,12,2,10,0,50 Lakh,2007,
2057,21,6,15,0,Aaja Nachle,2007,
2058,10,4,6,0,Aalwar,2007,
2059,15,8,7,0,Aap Kaa Surroor: The Moviee - The Real Luv Story,2007,
2060,4,1,3,0,Aarya,2007,
2061,5,3,2,0,Aggar: Passion Betrayal Terror,2007,
2062,17,8,9,0,Amal,2007,
2063,2,0,2,0,Anjaam,2007,
2064,13,3,10,0,Anwar,2007,
2065,6,3,3,0,Apna Asmaan,2007,
2066,23,6,17,0,Apne,2007,
2067,29,7,22,0,Athidhi,2007,
2068,11,2,9,0,Awarapan,2007,
2069,8,3,5,0,Bheja Fry,2007,
2070,12,5,7,0,Bhool Bhulaiyaa,2007,
2071,5,1,4,0,Bhupathi,2007,
2072,21,6,15,0,Big Brother,2007,
2073,21,7,14,0,Buddha Mar Gaya,2007,
2074,23,8,15,0,Cape Karma,2007,
2075,8,5,3,0,Cash,2007,
2076,29,8,21,0,Chain Kulii Ki Main Kulii,2007,
2077,50,39,11,0,Chak De! India,2007,
2078,17,9,8,0,Cheeni Kum,2007,
2079,6,1,5,0,Chhodon Naa Yaar,2007,
2080,13,5,8,0,Darling,2007,
2081,10,7,3,0,Deha,2007,
2082,8,3,5,0,Delhii Heights,2007,
2083,25,7,18,0,Desamuduru,2007,
2084,21,1,20,0,Dhamaal,2007,
2085,27,7,20,0,Dhan Dhana Dhan Goal,2007,
2086,20,5,15,0,Dharm,2007,
2087,10,2,8,0,Dhokha,2007,
2088,12,5,7,0,Dhol,2007,
2089,13,3,10,0,Dil Dosti Etc,2007,
2090,24,12,12,0,Dus Kahaniyaan,2007,
2091,34,5,29,0,Ek Chalis Ki Last Local,2007,
2092,12,4,8,0,Eklavya,2007,
2093,9,6,3,0,Fear,2007,
2094,15,3,12,0,Fool N Final,2007,
2095,20,5,15,0,Frozen,2007,
2096,93,21,72,0,"Gandhi, My Father",2007,
2097,6,4,2,0,Gauri: The Unborn,2007,
2098,10,2,8,0,Go,2007,
2099,15,3,12,0,God Only Knows!,2007,
2100,29,9,20,0,"Good Boy, Bad Boy",2007,
2101,35,13,22,0,Guru,2007,
2102,24,11,13,0,Hattrick,2007,
2103,28,21,7,0,Heyy Babyy,2007,
2104,21,10,11,0,Honeymoon Travels Pvt. Ltd.,2007,
2105,18,7,11,0,Hotel Very Welcome,2007,
2106,32,13,19,0,It's Breaking News,2007,
2107,56,17,39,0,Jab We Met,2007,
2108,26,10,16,0,Jhoom Barabar Jhoom,2007,
2109,37,12,25,0,Johnny Gaddaar,2007,
2110,26,3,23,0,Journey Bombay to Goa: Laughter Unlimited,2007,
2111,21,9,12,0,Just Married: Marriage Was Only the Beginning!,2007,
2112,17,4,13,0,Kaafila,2007,
2113,8,6,2,0,Kaisay Kahein...,2007,
2114,47,20,27,0,Khoya Khoya Chand,2007,
2115,13,5,8,0,Kya Love Story Hai,2007,
2116,17,7,10,0,Laaga Chunari Mein Daag: Journey of a Woman,2007,
2117,31,13,18,0,Lezioni di volo,2007,
2118,23,9,14,0,Life Mein Kabhie Kabhiee,2007,
2119,15,6,9,0,Life in a Metro,2007,
2120,13,5,8,0,MP3: Mera Pehla Pehla Pyaar,2007,
2121,8,3,5,0,Manorama Six Feet Under,2007,
2122,10,4,6,0,Mumbai Salsa,2007,
2123,11,3,8,0,My Friend Ganesha,2007,
2124,71,32,39,0,Namastey London,2007,
2125,17,3,14,0,Nanhe Jaisalmer: A Dream Come True,2007,
2126,8,2,6,0,Naqaab,2007,
2127,14,5,9,0,Nehlle Pe Dehlla,2007,
2128,5,2,3,0,Nishabd,2007,
2129,18,5,13,0,No Smoking,2007,
2130,75,26,49,0,Om Shanti Om,2007,
2131,34,8,26,0,Overnight,2007,
2132,20,5,15,0,Partner,2007,
2133,6,2,4,0,Raakh: A Poem Masked in Blood,2007,
2134,25,6,19,0,Ram Gopal Varma Ki Aag,2007,
2135,9,4,5,0,Raqeeb,2007,
2136,26,12,14,0,Red Swastik,2007,
2137,8,3,5,0,Red: The Dark Side,2007,
2138,1,0,1,0,Return of Hanuman,2007,
2139,14,3,11,0,Risk,2007,
2140,17,9,8,0,Saawariya,2007,
2141,41,19,22,0,Salaam-E-Ishq,2007,
2142,18,2,16,0,Say Salaam India: 'Let's Bring the Cup Home',2007,
2143,33,16,17,0,"Se, jie",2007,
2144,9,3,6,0,Shakalaka Boom Boom,2007,
2145,51,18,33,0,Shoot on Sight,2007,
2146,26,7,19,0,Shootout at Lokhandwala,2007,
2147,9,3,6,0,Showbiz,2007,
2148,56,8,48,0,Sivaji,2007,
2149,12,6,6,0,Speed,2007,
2150,8,5,3,0,Strangers,2007,
2151,14,2,12,0,Swami,2007,
2152,53,16,37,0,Ta Ra Rum Pum,2007,
2153,36,8,28,0,Taare Zameen Par,2007,
2154,55,10,45,0,The Darjeeling Limited,2007,
2155,4,3,1,0,The Great Indian Butterfly,2007,
2156,11,4,7,0,The Last Lear,2007,
2157,17,4,13,0,The Pool,2007,
2158,10,3,7,0,The Train: Some Lines Should Never Be Crossed...,2007,
2159,18,4,14,0,Thulasi,2007,
2160,28,7,21,0,Traffic Signal,2007,
2161,10,3,7,0,Undertrial,2007,
2162,12,4,8,0,Victoria No. 203: Diamonds Are Forever,2007,
2163,18,4,14,0,Welcome,2007,
2164,13,4,9,0,1920,2008,
2165,27,3,24,0,A Wednesday,2008,
2166,11,4,7,0,Aamir,2008,
2167,9,4,5,0,Anamika: The Untold Story,2008,
2168,8,4,4,0,Antardwand,2008,
2169,11,2,9,0,Bach ke Zara,2008,
2170,31,13,18,0,Bachna Ae Haseeno,2008,
2171,19,6,13,0,Bhoothnath,2008,
2172,37,14,23,0,Bhram: An Illusion,2008,
2173,18,4,14,0,Black & White,2008,
2174,5,2,3,0,Bombay to Bangkok,2008,
2175,22,7,15,0,C Kkompany,2008,
2176,77,17,60,0,Chamku,2008,
2177,21,5,16,0,Contract,2008,
2178,6,1,5,0,Dashavatar,2008,
2179,18,5,13,0,Dasvidaniya,2008,
2180,13,7,6,0,De Taali,2008,
2181,21,4,17,0,Desh Drohi,2008,
2182,26,7,19,0,Dhoom Dadakka,2008,
2183,12,6,6,0,Dil Kabaddi,2008,
2184,29,11,18,0,Dostana,2008,
2185,13,5,8,0,Drona,2008,
2186,17,3,14,0,EMI: Liya Hai To Chukana Padega,2008,
2187,24,9,15,0,Ek Vivaah... Aisa Bhi,2008,
2188,90,56,34,0,Fashion,2008,
2189,63,36,27,0,Filth and Wisdom,2008,
2190,53,15,38,0,Firaaq,2008,
2191,31,8,23,0,Ghajini,2008,
2192,13,4,9,0,God Tussi Great Ho,2008,
2193,19,9,10,0,Golmaal Returns,2008,
2194,5,2,3,0,Gooli,2008,
2195,16,4,12,0,Gumnaam: The Mystery,2008,
2196,10,5,5,0,Haal-e-Dil,2008,
2197,78,22,56,0,Halla Bol,2008,
2198,21,10,11,0,Hari Puttar: A Comedy of Terrors,2008,
2199,27,13,14,0,Hastey Hastey Follow Your Heart,2008,
2200,12,5,7,0,Hello,2008,
2201,14,5,9,0,Heroes,2008,
2202,29,11,18,0,Hijack,2008,
2203,41,10,31,0,Hulla,2008,
2204,21,9,12,0,Jaane Tu... Ya Jaane Na,2008,
2205,9,1,8,0,Jannat: In Search of Heaven...,2008,
2206,16,5,11,0,Jimmy,2008,
2207,46,10,36,0,Jodhaa Akbar,2008,
2208,6,3,3,0,Kaamannana Makkalu,2008,
2209,11,4,7,0,Karma: Crime. Passion. Reincarnation,2008,
2210,17,7,10,0,Karzzzz,2008,
2211,30,8,22,0,Khela,2008,
2212,15,7,8,0,Kidnap,2008,
2213,16,7,9,0,Kismat Konnection,2008,
2214,54,13,41,0,Krazzy 4,2008,
2215,20,7,13,0,Love Story 2050,2008,
2216,17,2,15,0,Maan Gaye Mughall-E-Azam,2008,
2217,7,2,5,0,Maharathi,2008,
2218,7,3,4,0,Meerabai Not Out,2008,
2219,18,9,9,0,Mehbooba,2008,
2220,9,4,5,0,Mere Baap Pehle Aap,2008,
2221,10,2,8,0,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,
2222,33,6,27,0,Mithya,2008,
2223,49,21,28,0,Money Hai Toh Honey Hai,2008,
2224,18,7,11,0,Mr. White Mr. Black,2008,
2225,13,3,10,0,Mukhbiir,2008,
2226,34,10,24,0,Mumbai Cutting,2008,
2227,85,25,60,0,Mumbai Meri Jaan,2008,
2228,16,4,12,0,My Name Is Anthony Gonsalves,2008,
2229,7,3,4,0,"Oh, My God!!",2008,
2230,19,5,14,0,One Two Three,2008,
2231,101,23,78,0,Oye Lucky! Lucky Oye!,2008,
2232,15,4,11,0,Pazhani,2008,
2233,24,8,16,0,Phir Kabhi,2008,
2234,17,8,9,0,Phoonk,2008,
2235,26,11,15,0,Rab Ne Bana Di Jodi,2008,
2236,10,4,6,0,Race,2008,
2237,28,10,18,0,Rama Rama Kya Hai Dramaaa,2008,
2238,14,2,12,0,Ramchand Pakistani,2008,
2239,60,18,42,0,Rang Rasiya,2008,
2240,15,3,12,0,Roadside Romeo,2008,
2241,34,7,27,0,Rock On!!,2008,
2242,7,3,4,0,Ru-Ba-Ru,2008,
2243,22,11,11,0,Saas Bahu Aur Sensex,2008,
2244,18,3,15,0,Sarkar Raj,2008,
2245,5,1,4,0,Sathyam,2008,
2246,14,5,9,0,Shaurya: It Takes Courage to Make Right... Right,2008,
2247,27,10,17,0,Singh Is Kinng,2008,
2248,14,7,7,0,Sirf....: Life Looks Greener on the Other Side,2008,
2249,77,24,53,0,Slumdog Millionaire,2008,
2250,14,5,9,0,Sorry Bhai!,2008,
2251,14,4,10,0,Souryam,2008,
2252,37,12,25,0,Summer 2007,2008,
2253,19,4,15,0,Sunday,2008,
2254,17,5,12,0,Superstar,2008,
2255,33,13,20,0,Tandoori Love,2008,
2256,13,2,11,0,Tashan,2008,
2257,65,26,39,0,The Accidental Husband,2008,
2258,47,21,26,0,The Other End of the Line,2008,
2259,42,21,21,0,Thoda Pyaar Thoda Magic,2008,
2260,23,9,14,0,U Me Aur Hum,2008,
2261,11,6,5,0,Ugly Aur Pagli,2008,
2262,13,5,8,0,Via Darjeeling,2008,
2263,11,3,8,0,Visakha Express,2008,
2264,13,4,9,0,Wafaa,2008,
2265,60,15,45,0,Welcome to Sajjanpur,2008,
2266,12,6,6,0,When Kiran Met Karen,2008,
2267,12,2,10,0,Woodstock Villa,2008,
2268,34,9,25,0,Y.M.I. Yeh Mera India,2008,
2269,26,10,16,0,Yuvvraaj,2008,
2270,17,5,12,0,13B: Fear Has a New Address,2009,
2271,141,39,102,0,2012,2009,
2272,70,18,52,0,3 Idiots,2009,
2273,8,4,4,0,8 x 10 Tasveer,2009,
2274,21,4,17,0,99,2009,
2275,12,2,10,0,Aa Dekhen Zara,2009,
2276,11,2,9,0,Aadmi Ki Aurat Aur Anya Kahaniya,2009,
2277,16,4,12,0,Aagey Se Right,2009,
2278,12,5,7,0,Aao Wish Karein,2009,
2279,12,5,7,0,Acid Factory,2009,
2280,10,2,8,0,Agyaat,2009,
2281,27,5,22,0,Ajab Prem Ki Ghazab Kahani,2009,
2282,27,5,22,0,Aladin,2009,
2283,13,4,9,0,All the Best: Fun Begins,2009,
2284,13,5,8,0,Aloo Chaat,2009,
2285,23,5,18,0,Anjaneyulu,2009,
2286,79,20,59,0,Baabarr,2009,
2287,6,4,2,0,Barah Aana,2009,
2288,57,12,45,0,Billu,2009,
2289,10,3,7,0,Blue,2009,
2290,29,9,20,0,Blue Oranges,2009,
2291,7,3,4,0,Bollywood Hero,2009,
2292,31,8,23,0,Bolo Raam,2009,
2293,23,12,11,0,Bombay Summer,2009,
2294,10,3,7,0,Chal Chala Chal,2009,
2295,31,5,26,0,Chandni Chowk to China,2009,
2296,41,9,32,0,Chintu Ji,2009,
2297,84,28,56,0,City of Life,2009,
2298,33,15,18,0,Cooking with Stella,2009,
2299,18,5,13,0,Daddy Cool: Join the Fun,2009,
2300,19,8,11,0,De Dana Dan,2009,
2301,33,12,21,0,Delhi-6,2009,
2302,22,7,15,0,Detective Naani,2009,
2303,38,12,26,0,Dev.D,2009,
2304,25,4,21,0,Dhoondte Reh Jaoge,2009,
2305,27,6,21,0,Dil Bole Hadippa!,2009,
2306,13,5,8,0,Do Knot Disturb,2009,
2307,17,6,11,0,Dragonball Evolution,2009,
2308,29,5,24,0,Ek: The Power of One,2009,
2309,45,10,35,0,Fox,2009,
2310,17,2,15,0,Fruit & Nut,2009,
2311,4,2,2,0,"Gallit Gondhal, Dillit Mujra",2009,
2312,21,6,15,0,Gulaal,2009,
2313,11,3,8,0,Jai Veeru: Friends Forever,2009,
2314,74,6,68,0,Jail,2009,
2315,9,3,6,0,Jashnn: The Music Within,2009,
2316,13,3,10,0,Jugaad,2009,
2317,15,6,9,0,Kal Kissne Dekha,2009,
2318,32,18,14,0,Kambakkht Ishq,2009,
2319,73,17,56,0,Kaminey,2009,
2320,18,2,16,0,Kanthaswamy,2009,
2321,21,9,12,0,"Karma, Confessions and Holi",2009,
2322,11,2,9,0,Kisaan,2009,
2323,16,3,13,0,Kisse Pyaar Karoon?,2009,
2324,67,20,47,0,Kurbaan,2009,
2325,26,6,20,0,Kvelaferi kargad iqneba,2009,
2326,66,11,55,0,Laadli Laila,2009,
2327,54,30,24,0,Life Goes On,2009,
2328,32,11,21,0,London Dreams,2009,
2329,99,39,60,0,Love Aaj Kal,2009,
2330,22,11,11,0,Love Khichdi,2009,
2331,13,5,8,0,Luck,2009,
2332,51,23,28,0,Luck by Chance,2009,
2333,12,3,9,0,Madholal Keep Walking,2009,
2334,16,6,10,0,Madly Bangali,2009,
2335,18,7,11,0,Mahathma,2009,
2336,12,8,4,0,Main Aurr Mrs Khanna,2009,
2337,17,5,12,0,Maska,2009,
2338,8,4,4,0,Mere Khwabon Mein Jo Aaye,2009,
2339,5,2,3,0,Mohandas,2009,
2340,8,5,3,0,Morning Walk,2009,
2341,53,10,43,0,New York,2009,
2342,49,10,39,0,Paa,2009,
2343,13,5,8,0,Paying Guests,2009,
2344,27,8,19,0,Quick Gun Murugun: Misadventures of an Indian Cowboy,2009,
2345,11,6,5,0,"Raat Gayi, Baat Gayi?",2009,
2346,14,5,9,0,Raaz: The Mystery Continues,2009,
2347,21,10,11,0,Radio: Love on Air,2009,
2348,16,4,12,0,Red Alert: The War Within,2009,
2349,12,3,9,0,"Road, Movie",2009,
2350,32,4,28,0,Rocket Singh: Salesman of the Year,2009,
2351,9,2,7,0,Sanam Teri Kasam,2009,
2352,17,3,14,0,Sankat City,2009,
2353,24,5,19,0,Sankham,2009,
2354,18,6,12,0,Shadow,2009,
2355,19,5,14,0,Shortkut - The Con Is On,2009,
2356,16,3,13,0,Siddharth: The Prisoner,2009,
2357,16,1,15,0,Sikandar,2009,
2358,18,8,10,0,Straight,2009,
2359,29,12,17,0,Street Fighter: The Legend of Chun-Li,2009,
2360,34,6,28,0,Team: The Force,2009,
2361,11,2,9,0,Tera Kya Hoga Johnny,2009,
2362,5,3,2,0,Teree Sang: A Kidult Love Story,2009,
2363,38,12,26,0,Thanks Maa,2009,
2364,6,1,5,0,The Forest,2009,
2365,9,4,5,0,The President Is Coming,2009,
2366,48,9,39,0,The Stoneman Murders,2009,
2367,18,7,11,0,The Taste of Relation,2009,
2368,5,2,3,0,"Three: Love, Lies, Betrayal",2009,
2369,10,2,8,0,Tum Mile,2009,
2370,12,4,8,0,Vaada Raha... I Promise,2009,
2371,11,3,8,0,Veera Madakari,2009,
2372,21,5,16,0,Victory,2009,
2373,6,2,4,0,Vihir,2009,
2374,16,5,11,0,Villu,2009,
2375,14,7,7,0,Wake Up Sid,2009,
2376,42,5,37,0,Wanted,2009,
2377,48,13,35,0,Well Done Abba!,2009,
2378,41,12,29,0,What's Your Raashee?,2009,
2379,9,5,4,0,10ml LOVE,2010,
2380,19,8,11,0,A Flat,2010,
2381,15,2,13,0,Aakhari Decision,2010,
2382,20,5,15,0,Aakrosh,2010,
2383,22,10,12,0,Aashayein,2010,
2384,23,12,11,0,Accident on Hill Road,2010,
2385,9,4,5,0,Action Replayy,2010,
2386,22,7,15,0,Adhurs,2010,
2387,25,10,15,0,Aisha,2010,
2388,13,3,10,0,Allah Ke Banday,2010,
2389,33,10,23,0,Anjaana Anjaani,2010,
2390,30,17,13,0,Apartment: Rent at Your Own Risk,2010,
2391,21,2,19,0,Atithi Tum Kab Jaoge?,2010,
2392,28,10,18,0,Badmaa$h Company,2010,
2393,17,4,13,0,Band Baaja Baaraat,2010,
2394,15,8,7,0,Benny and Babloo,2010,
2395,49,5,44,0,Bhavnao Ko Samjho,2010,
2396,11,6,5,0,Break Ke Baad,2010,
2397,19,11,8,0,Bumm Bumm Bole,2010,
2398,18,3,15,0,Chance Pe Dance,2010,
2399,24,7,17,0,Chase,2010,
2400,39,7,32,0,City of Gold - Mumbai 1982: Ek Ankahee Kahani,2010,
2401,9,5,4,0,Click,2010,
2402,22,4,18,0,Crook: It's Good to Be Bad,2010,
2403,38,13,25,0,Daayen Ya Baayen,2010,
2404,37,8,29,0,Dabangg,2010,
2405,43,15,28,0,Dhobi Ghat,2010,
2406,71,25,46,0,Do Dooni Chaar,2010,
2407,14,6,8,0,Dulha Mil Gaya,2010,
2408,12,6,6,0,Dunno Y Na Jaane Kyun...,2010,
2409,22,9,13,0,Dus Tola,2010,
2410,18,7,11,0,Fired,2010,
2411,40,15,25,0,Get Educated: Paathshaala,2010,
2412,63,14,49,0,Golimar,2010,
2413,18,4,14,0,Golmaal 3,2010,
2414,51,20,31,0,Guzaarish,2010,
2415,10,4,6,0,Harud,2010,
2416,34,11,23,0,Hello Darling,2010,
2417,66,17,49,0,Hello Hum Lallann Bol Rahe Hain,2010,
2418,9,7,2,0,Help,2010,
2419,21,5,16,0,Hide & Seek,2010,
2420,11,4,7,0,Hisss,2010,
2421,42,11,31,0,Housefull,2010,
2422,22,6,16,0,Hum Tum Aur Ghost,2010,
2423,23,7,16,0,I Am,2010,
2424,8,4,4,0,I Am 24,2010,
2425,29,12,17,0,I Am Kalam,2010,
2426,16,7,9,0,I Hate Luv Storys,2010,
2427,10,4,6,0,Ishqiya,2010,
2428,31,13,18,0,Isi Life Mein...!,2010,
2429,37,17,20,0,Iti Mrinalini: An Unfinished Letter...,2010,
2430,27,16,11,0,Jaane Kahan Se Aayi Hai,2010,
2431,32,8,24,0,Jhootha Hi Sahi,2010,
2432,14,4,10,0,Kaalo,2010,
2433,15,7,8,0,Kajraare,2010,
2434,32,8,24,0,Karthik Calling Karthik,2010,
2435,18,4,14,0,Khaleja,2010,
2436,26,8,18,0,Khatta Meetha,2010,
2437,42,10,32,0,Khelein Hum Jee Jaan Sey,2010,
2438,16,5,11,0,Khichdi: The Movie,2010,
2439,15,6,9,0,Khuda Kasam,2010,
2440,9,3,6,0,Kiccha Huccha,2010,
2441,22,6,16,0,Kites,2010,
2442,32,8,24,0,Knock Out,2010,
2443,17,4,13,0,Kushti,2010,
2444,33,11,22,0,"LSD: Love, Sex Aur Dhokha",2010,
2445,16,4,12,0,Lafangey Parindey,2010,
2446,66,11,55,0,Lahore,2010,
2447,30,6,24,0,Lamhaa: The Untold Story of Kashmir,2010,
2448,6,5,1,0,Mee Sindhutai Sapkal,2010,
2449,17,6,11,0,Memories in March,2010,
2450,14,6,8,0,Milenge Milenge,2010,
2451,10,4,6,0,Mirch,2010,
2452,3,1,2,0,Mr. Singh/Mrs. Mehta,2010,
2453,13,5,8,0,Mr. Theertha,2010,
2454,186,70,116,0,My Name Is Khan,2010,
2455,46,15,31,0,Na Ghar Ke Na Ghaat Ke,2010,
2456,37,10,27,0,Namo Venkatesha,2010,
2457,28,7,21,0,No Problem,2010,
2458,53,10,43,0,Once Upon a Time in Mumbaai,2010,
2459,7,2,5,0,Pairon Talle,2010,
2460,19,7,12,0,Panchakshari,2010,
2461,11,4,7,0,Pankh,2010,
2462,13,4,9,0,Pappu Can't Dance Saala,2010,
2463,30,6,24,0,Payback,2010,
2464,16,4,12,0,Peepli Live,2010,
2465,41,17,24,0,Phas Gaye Re Obama,2010,
2466,12,5,7,0,Phoonk 2,2010,
2467,13,6,7,0,Prem Kaa Game,2010,
2468,10,3,7,0,Prince,2010,
2469,23,7,16,0,Pusher,2010,
2470,11,5,6,0,Pyaar Impossible!,2010,
2471,19,4,15,0,Raajneeti,2010,
2472,14,4,10,0,Raavan,2010,
2473,31,8,23,0,Rakhta Charitra,2010,
2474,20,4,16,0,Rakhta Charitra 2,2010,
2475,14,5,9,0,Ramaa: The Saviour,2010,
2476,4,1,3,0,Ramayana: The Epic,2010,
2477,17,6,11,0,Rann,2010,
2478,20,6,14,0,Right Yaaa Wrong,2010,
2479,82,11,71,0,Road to Sangam,2010,
2480,15,8,7,0,Rokkk,2010,
2481,22,9,13,0,Sadiyaan: Boundaries Divide... Love Unites,2010,
2482,21,4,17,0,Seetharamula Kalyanam Lankalo,2010,
2483,19,6,13,0,Shaapit: The Cursed,2010,
2484,7,2,5,0,Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,2010,
2485,11,3,8,0,Shor in the City,2010,
2486,33,4,29,0,Soch Lo,2010,
2487,161,12,149,0,Striker,2010,
2488,23,6,17,0,Teen Patti,2010,
2489,27,4,23,0,Tees Maar Khan,2010,
2490,18,2,16,0,Tere Bin Laden,2010,
2491,16,3,13,0,That Girl in Yellow Boots,2010,
2492,15,3,12,0,The Film Emotional Atyachar,2010,
2493,3,1,2,0,The Untitled Kartik Krishnan Project,2010,
2494,13,4,9,0,The Waiting Room,2010,
2495,11,5,6,0,Toh Baat Pakki!,2010,
2496,13,4,9,0,Toonpur Ka Superrhero,2010,
2497,53,14,39,0,Tum Milo Toh Sahi,2010,
2498,43,8,35,0,Udaan,2010,
2499,25,5,20,0,Varudu,2010,
2500,35,11,24,0,Veer,2010,
2501,11,3,8,0,Veera Parampare,2010,
2502,34,15,19,0,Walkaway,2010,
2503,9,6,3,0,We Are Family,2010,
2504,14,4,10,0,404: Error Not Found,2011,
2505,15,6,9,0,7 Aum Arivu,2011,
2506,20,4,16,0,7 Khoon Maaf,2011,
2507,22,6,16,0,Aarakshan,2011,
2508,11,5,6,0,Aashiqui.in,2011,
2509,17,5,12,0,Aazaan,2011,
2510,12,4,8,0,Always Kabhi Kabhi,2011,
2511,24,9,15,0,Angel,2011,
2512,22,6,16,0,Badrinath,2011,
2513,14,3,11,0,Bbuddah... Hoga Terra Baap,2011,
2514,20,7,13,0,Be-Careful,2011,
2515,14,2,12,0,Bezawada,2011,
2516,12,4,8,0,Bheja Fry 2,2011,
2517,15,5,10,0,Bhindi Baazaar,2011,
2518,20,6,14,0,Bin Bulaye Baraati,2011,
2519,32,12,20,0,Bodyguard,2011,
2520,36,14,22,0,Bol,2011,
2521,8,2,6,0,Bubble Gum,2011,
2522,9,2,7,0,Chala Mussaddi - Office Office,2011,
2523,12,1,11,0,Chalo Dilli,2011,
2524,9,3,6,0,Chargesheet,2011,
2525,19,3,16,0,Chatur Singh Two Star,2011,
2526,56,16,40,0,Chillar Party,2011,
2527,39,16,23,0,Chitkabrey,2011,
2528,22,9,13,0,Curry Munchers,2011,
2529,17,4,13,0,Cycle Kick,2011,
2530,14,4,10,0,Dam999,2011,
2531,13,6,7,0,Damadamm!,2011,
2532,62,18,44,0,Delhi Belly,2011,
2533,8,2,6,0,Delhi in a Day,2011,
2534,60,23,37,0,Desi Boyz,2011,
2535,8,2,6,0,Dharti,2011,
2536,27,11,16,0,Dil Toh Baccha Hai Ji,2011,
2537,43,7,36,0,Don 2,2011,
2538,16,2,14,0,Double Dhamaal,2011,
2539,54,12,42,0,Dum Maaro Dum,2011,
2540,22,5,17,0,F.A.L.T.U,2011,
2541,20,4,16,0,Force,2011,
2542,65,34,31,0,French Immersion,2011,
2543,15,4,11,0,Game,2011,
2544,54,15,39,0,Gandhi to Hitler,2011,
2545,31,5,26,0,Gattu,2011,
2546,10,5,5,0,Haunted - 3D,2011,
2547,32,4,28,0,Hostel,2011,
2548,15,5,10,0,Hum Tum Shabana,2011,
2549,63,18,45,0,I Am Singh,2011,
2550,17,7,10,0,Impatient Vivek,2011,
2551,67,12,55,0,Jo Dooba So Paar: It's Love in Bihar!,2011,
2552,10,3,7,0,Jo Hum Chahein,2011,
2553,10,4,6,0,Kaccha Limboo,2011,
2554,20,6,14,0,Kempe Gowda,2011,
2555,13,4,9,0,Khap,2011,
2556,11,3,8,0,Kshay,2011,
2557,7,2,5,0,Kucch Luv Jaisaa,2011,
2558,7,4,3,0,Ladies vs. Ricky Bahl,2011,
2559,9,2,7,0,Lanka,2011,
2560,14,4,10,0,Loot,2011,
2561,17,8,9,0,Love Breakups Zindagi,2011,
2562,25,16,9,0,Love Express,2011,
2563,11,3,8,0,Love U... Mr. Kalakaar!,2011,
2564,12,5,7,0,Lucky,2011,
2565,28,14,14,0,Luv Ka the End,2011,
2566,15,2,13,0,Masti Express,2011,
2567,19,8,11,0,Mausam,2011,
2568,51,23,28,0,Mere Brother Ki Dulhan,2011,
2569,7,4,3,0,Michael,2011,
2570,12,5,7,0,Miley - Naa Miley - Hum,2011,
2571,20,6,14,0,Mod,2011,
2572,39,9,30,0,Monica,2011,
2573,12,6,6,0,Mujhse Fraaandship Karoge,2011,
2574,31,10,21,0,Murder 2,2011,
2575,36,8,28,0,My Friend Pinto,2011,
2576,22,9,13,0,Naughty @ 40,2011,
2577,24,9,15,0,No One Killed Jessica,2011,
2578,12,5,7,0,Not a Love Story,2011,
2579,7,3,4,0,Noukadubi,2011,
